咪咕,#genre#
HTV-1,http://live.aikan.miguvideo.com/PLTV/88888888/224/3221229307/index.m3u8
HTV-2,http://live.aikan.miguvideo.com/PLTV/88888888/224/3221229310/index.m3u8
HTV-3,http://live.aikan.miguvideo.com/PLTV/88888888/224/3221229313/index.m3u8
HTV-4,http://live.aikan.miguvideo.com/PLTV/88888888/224/3221229377/index.m3u8
HTV-5,http://live.aikan.miguvideo.com/PLTV/88888888/224/3221229316/index.m3u8
浙江卫视HD,http://live.aikan.miguvideo.com/PLTV/88888888/224/3221229352/index.m3u8
数码时代,http://live.aikan.miguvideo.com/PLTV/88888888/224/3221229419/index.m3u8
浙江少儿,http://183.131.128.233/live.hcs.cmvideo.cn:8088/ws_w/2018/zj/se/1000/index.m3u8?&encrypt=
CCTV-1HD,http://live.aikan.miguvideo.com/PLTV/88888888/224/3221228104/index.m3u8#http://live.aikan.miguvideo.com/PLTV/88888888/224/3221228098/index.m3u8#http://live.aikan.miguvideo.com/PLTV/88888888/224/3221228702/index.m3u8#http://live.aikan.miguvideo.com/PLTV/88888888/224/3221228843/index.m3u8#http://live.aikan.miguvideo.com/PLTV/88888888/224/3221229867/index.m3u8#http://live.aikan.miguvideo.com/PLTV/88888888/224/3221229864/index.m3u8
CCTV-2,http://live.aikan.miguvideo.com/PLTV/88888888/224/3221228129/index.m3u8#http://live.aikan.miguvideo.com/PLTV/88888888/224/3221229095/index.m3u8#http://live.aikan.miguvideo.com/PLTV/88888888/224/3221229341/index.m3u8
CCTV-3HD,http://223.110.241.206:6610/gitv/live1/G_CCTV-3-HQ/G_CCTV-3-HQ
CCTV-4,http://223.110.241.206:6610/gitv/live1/G_CCTV-4-HQ/G_CCTV-4-HQ
CCTV-5HD,http://live.aikan.miguvideo.com/PLTV/88888888/224/3221228849/index.m3u8
CCTV-5+HD,http://223.110.241.206:6610/gitv/live1/G_CCTV-5PLUS-HQ/G_CCTV-5PLUS-HQ
CCTV-6HD,http://223.110.241.206:6610/gitv/live1/G_CCTV-6-HQ/G_CCTV-6-HQ
CCTV-7,http://223.110.241.206:6610/gitv/live1/G_CCTV-7-HQ/G_CCTV-7-HQ
CCTV-8HD,http://223.110.241.206:6610/gitv/live1/G_CCTV-8-HQ/G_CCTV-8-HQ
